section,benchmark,checkpoint,comparison,metric,n,estimate,ci_low,ci_high,excluded_high_overlap_fraction,max_retained_overlap
aggregate,overall,base,,,3471,0.6643618553730913,0.6484784161630727,0.6798818884786354,,
aggregate,overall,no_skill,,,3471,0.6562950158455776,0.640329797223806,0.6719146642453027,,
aggregate,overall,with_skill,,,3471,0.6519734946701239,0.6359665454226392,0.6676444286325772,,
aggregate,bfcl:irrelevance,base,,,240,0.8625,0.8131895522590333,0.9003888557833366,,
aggregate,bfcl:irrelevance,no_skill,,,240,0.875,0.8271639346103987,0.9110206254334321,,
aggregate,bfcl:irrelevance,with_skill,,,240,0.8625,0.8131895522590333,0.9003888557833366,,
aggregate,bfcl:multi_turn_base,base,,,200,0.23,0.17709343259068808,0.29308304365303584,,
aggregate,bfcl:multi_turn_base,no_skill,,,200,0.215,0.1637187625450758,0.2770230734899661,,
aggregate,bfcl:multi_turn_base,with_skill,,,200,0.21,0.15928412069979,0.2716461685990245,,
aggregate,bfcl:multi_turn_long_context,base,,,200,0.135,0.09446570454787909,0.1892913837075255,,
aggregate,bfcl:multi_turn_long_context,no_skill,,,200,0.135,0.09446570454787909,0.1892913837075255,,
aggregate,bfcl:multi_turn_long_context,with_skill,,,200,0.125,0.08611974475712646,0.17801425002582344,,
aggregate,bfcl:multi_turn_miss_func,base,,,200,0.19,0.14167171527790676,0.2500123870759985,,
aggregate,bfcl:multi_turn_miss_func,no_skill,,,200,0.19,0.14167171527790676,0.2500123870759985,,
aggregate,bfcl:multi_turn_miss_func,with_skill,,,200,0.175,0.12860515066273331,0.23364431148248993,,
aggregate,bfcl:multi_turn_miss_param,base,,,200,0.165,0.11996855328217308,0.22265781539059548,,
aggregate,bfcl:multi_turn_miss_param,no_skill,,,200,0.145,0.10289350642004402,0.20048667530781522,,
aggregate,bfcl:multi_turn_miss_param,with_skill,,,200,0.13,0.09028202279669321,0.18366351872248404,,
aggregate,bfcl:multiple,base,,,200,0.965,0.9295293884777092,0.9829444579914328,,
aggregate,bfcl:multiple,no_skill,,,200,0.925,0.8799563897637055,0.954025082815618,,
aggregate,bfcl:multiple,with_skill,,,200,0.91,0.8622342812328346,0.9423125511378069,,
aggregate,bfcl:parallel,base,,,200,0.92,0.874010511732856,0.9501594141102401,,
aggregate,bfcl:parallel,no_skill,,,200,0.88,0.8276574790170326,0.9180200729362449,,
aggregate,bfcl:parallel,with_skill,,,200,0.89,0.8390730900269852,0.9262275553987469,,
aggregate,bfcl:parallel_multiple,base,,,200,0.9,0.8505941875672827,0.934329551330904,,
aggregate,bfcl:parallel_multiple,no_skill,,,200,0.89,0.8390730900269852,0.9262275553987469,,
aggregate,bfcl:parallel_multiple,with_skill,,,200,0.86,0.8051011913429243,0.9013301736654437,,
aggregate,bfcl:simple_java,base,,,100,0.65,0.5525444329688796,0.7363575175690247,,
aggregate,bfcl:simple_java,no_skill,,,100,0.66,0.5627772885472463,0.7453847920265183,,
aggregate,bfcl:simple_java,with_skill,,,100,0.63,0.5322052958094291,0.7181763946567546,,
aggregate,bfcl:simple_javascript,base,,,50,0.62,0.4815044693099298,0.7413721068980641,,
aggregate,bfcl:simple_javascript,no_skill,,,50,0.62,0.4815044693099298,0.7413721068980641,,
aggregate,bfcl:simple_javascript,with_skill,,,50,0.64,0.501410168761127,0.7586125034815325,,
aggregate,bfcl:simple_python,base,,,400,0.955,0.9299952708096761,0.971348541346114,,
aggregate,bfcl:simple_python,no_skill,,,400,0.9425,0.9151991622718807,0.9613824572422669,,
aggregate,bfcl:simple_python,with_skill,,,400,0.9475,0.921078024928725,0.9654084716420795,,
aggregate,ifeval,base,,,541,0.8133086876155268,0.7783059807573551,0.8438933664321251,,
aggregate,ifeval,no_skill,,,541,0.8096118299445472,0.7743902933170534,0.8404674686548519,,
aggregate,ifeval,with_skill,,,541,0.8096118299445472,0.7743902933170534,0.8404674686548519,,
aggregate,mmlu_fixed500,base,,,500,0.504,0.460312154390353,0.5476268508859545,,
aggregate,mmlu_fixed500,no_skill,,,500,0.51,0.4662736879310782,0.5535738252596907,,
aggregate,mmlu_fixed500,with_skill,,,500,0.514,0.47025151158007206,0.5575350068870044,,
aggregate,tool_restraint:irrelevant_tools,base,,,120,0.9416666666666667,0.8844740796636988,0.9714589899997798,,
aggregate,tool_restraint:irrelevant_tools,no_skill,,,120,0.925,0.8635908239400624,0.9600428846040397,,
aggregate,tool_restraint:irrelevant_tools,with_skill,,,120,0.95,0.8951971146376327,0.9768856355855342,,
aggregate,tool_restraint:no_tools,base,,,120,0.9583333333333334,0.9061591476629648,0.9820732831198905,,
aggregate,tool_restraint:no_tools,no_skill,,,120,0.95,0.8951971146376327,0.9768856355855342,,
aggregate,tool_restraint:no_tools,with_skill,,,120,0.9416666666666667,0.8844740796636988,0.9714589899997798,,
comparison,overall,,with_skill-no_skill,score,3471,-0.00432152117545376,-0.012100259291270527,0.003745318352059925,,
comparison,overall,,no_skill-base,score,3471,-0.008066839527513685,-0.016709881878421203,0.000864304235090752,,
comparison,overall,,with_skill-base,score,3471,-0.012388360702967444,-0.020743301642178046,-0.003745318352059925,,
comparison,bfcl:irrelevance,,with_skill-no_skill,score,240,-0.0125,-0.03333333333333333,0.004166666666666667,,
comparison,bfcl:irrelevance,,no_skill-base,score,240,0.0125,-0.008333333333333333,0.03333333333333333,,
comparison,bfcl:irrelevance,,with_skill-base,score,240,0.0,-0.016666666666666666,0.016666666666666666,,
comparison,bfcl:multi_turn_base,,with_skill-no_skill,score,200,-0.005,-0.05,0.04,,
comparison,bfcl:multi_turn_base,,no_skill-base,score,200,-0.015,-0.065,0.035,,
comparison,bfcl:multi_turn_base,,with_skill-base,score,200,-0.02,-0.07,0.03,,
comparison,bfcl:multi_turn_long_context,,with_skill-no_skill,score,200,-0.01,-0.045,0.025,,
comparison,bfcl:multi_turn_long_context,,no_skill-base,score,200,0.0,-0.035,0.035,,
comparison,bfcl:multi_turn_long_context,,with_skill-base,score,200,-0.01,-0.04,0.015,,
comparison,bfcl:multi_turn_miss_func,,with_skill-no_skill,score,200,-0.015,-0.07,0.04,,
comparison,bfcl:multi_turn_miss_func,,no_skill-base,score,200,0.0,-0.06,0.06,,
comparison,bfcl:multi_turn_miss_func,,with_skill-base,score,200,-0.015,-0.075,0.045,,
comparison,bfcl:multi_turn_miss_param,,with_skill-no_skill,score,200,-0.015,-0.06,0.03,,
comparison,bfcl:multi_turn_miss_param,,no_skill-base,score,200,-0.02,-0.075,0.035,,
